City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,petropavlovka,50.6114,105.3196,-28.07,62,98,2.91,RU,1674364834
284,borodino,55.9106,94.8983,-35.18,89,51,1.21,RU,1674365381
285,naze,28.3667,129.4833,16.51,72,100,7.8,JP,1674364782
286,kuntaur,13.6667,-14.8833,18.17,46,41,2.91,GM,1674365381
287,esna,25.2934,32.554,9.01,40,0,3.45,EG,1674365382
288,havoysund,70.9963,24.6622,1.13,97,100,9.6,NO,1674365382
289,margate,51.3813,1.3862,4.83,73,16,2.24,GB,1674365382
290,biscarrosse,44.3945,-1.1672,1.32,79,6,3.67,FR,1674365383
291,riyadh,24.6877,46.7219,11.08,49,36,3.84,SA,1674365383
292,itarema,-2.9248,-39.9167,24.75,86,71,3.52,BR,1674364849
293,santa maria do suacui,-18.1903,-42.4142,19.72,96,99,0.56,BR,1674365384
294,manadhoo,5.7667,73.3833,26.59,70,86,6.26,MV,1674365384
295,lagoa,39.05,-27.9833,14.98,80,4,9.73,PT,1674365245
296,nhulunbuy,-12.2333,136.7667,27.34,94,75,4.63,AU,1674364800
297,hamilton,39.1834,-84.5333,-0.07,85,75,3.6,US,1674365381
298,mandalgovi,45.7625,106.2708,-21.14,77,100,9.36,MN,1674365385
299,fayaoue,-20.65,166.5333,26.68,87,100,9.98,NC,1674365385
300,clyde river,70.4692,-68.5914,-31.87,75,100,5.66,CA,1674365385
301,xai-xai,-25.0519,33.6442,27.2,72,14,2.16,MZ,1674365386
302,chistogorskiy,53.9835,87.3843,-28.35,91,54,1.19,RU,1674365386
303,tabou,4.423,-7.3528,25.7,86,100,3.45,CI,1674364855
304,inhuma,-6.6683,-41.7078,23.39,74,88,1.02,BR,1674365386
305,big spring,32.2504,-101.4787,4.25,49,0,5.14,US,1674365387
306,pavilosta,56.8879,21.1859,-3.05,79,6,6.25,LV,1674365387
307,mitsamiouli,-11.3847,43.2844,26.02,87,100,8.39,KM,1674364886
